 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_8048
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   273      16      1675      1659   24.2992        20  0.087276   2.61789
   274      16      1682      1666   24.3127        28  0.084908   2.61177
   275      16      1682      1666   24.2243         0         -   2.61177
   276      16      1689      1673    24.238        14  0.085286   2.60925
   277      16      1694      1678   24.2227        20  0.083337   2.60173
   278      16      1697      1681   24.1787        12   6.61369   2.60894
   279      16      1714      1698   24.3357        68  0.109479   2.61749
2014-11-23 11:40:06.858292min lat: 0.081958 max lat: 21.2997 avg lat: 2.599
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16      1736      1720    24.563        88  0.084666     2.599
   281      16      1752      1736   24.7033        64  0.083866   2.58021
   282      16      1762      1746   24.7575        40  0.105016   2.56985
   283      16      1762      1746     24.67         0         -   2.56985
   284      16      1762      1746   24.5832         0         -   2.56985
   285      16      1768      1752   24.5811         8    5.2877   2.57811
   286      16      1772      1756   24.5511        16  0.084211    2.5725
   287      16      1775      1759   24.5074        12   6.52456   2.57946
   288      16      1775      1759   24.4223         0         -   2.57946
   289      16      1775      1759   24.3378         0         -   2.57946
   290      16      1779      1763   24.3091   5.33333  0.160013   2.58871
   291      16      1779      1763   24.2256         0         -   2.58871
   292      16      1784      1768   24.2111        10  0.083525   2.59871
   293      16      1784      1768   24.1285         0         -   2.59871
   294      16      1787      1771   24.0872         6   9.81531   2.61214
   295      16      1794      1778   24.1005        28   0.08351    2.6022
   296      16      1794      1778   24.0191         0         -    2.6022
   297      16      1802      1786   24.0459        16  0.086669    2.6101
   298      16      1802      1786   23.9652         0         -    2.6101
   299      16      1813      1797   24.0322        22  0.084989   2.61521
2014-11-23 11:40:26.860837min lat: 0.081958 max lat: 21.2997 avg lat: 2.61099
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16      1816      1800   23.9921        12   0.08475   2.61099
   301      16      1817      1801   23.9257         4   14.1629    2.6174
   302      16      1817      1801   23.8465         0         -    2.6174
   303      16      1817      1801   23.7678         0         -    2.6174
   304      16      1817      1801   23.6896         0         -    2.6174
   305      16      1817      1801    23.612         0         -    2.6174
   306      14      1817      1803    23.561       1.6   11.5203   2.62728
   307      14      1817      1803   23.4843         0         -   2.62728
   308      14      1817      1803    23.408         0         -   2.62728
   309      14      1817      1803   23.3323         0         -   2.62728
   310      14      1817      1803    23.257         0         -   2.62728
 Total time run:         310.981681
Total writes made:      1817
Write size:             4194304
Bandwidth (MB/sec):     23.371 

Stddev Bandwidth:       30.9289
Max bandwidth (MB/sec): 160
Min bandwidth (MB/sec): 0
Average Latency:        2.73025
Stddev Latency:         4.08136
Max latency:            21.5695
Min latency:            0.081958
