 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   181      16    113679    113663   2.45275         0         - 0.0253109
   182      16    113679    113663   2.43927         0         - 0.0253109
   183      16    114559    114543   2.44472   1.14583  0.009697 0.0255563
   184      16    114604    114588   2.43239  0.175781   0.00994 0.0255533
   185      16    114604    114588   2.41924         0         - 0.0255533
   186      16    115468    115452   2.42438    1.6875  0.001973 0.0257755
   187      16    116844    116828   2.44016     5.375  0.003002 0.0256094
   188      16    117730    117714   2.44558   3.46094  0.065897 0.0255102
   189      16    118855    118839   2.45589   4.39453  0.003082 0.0254461
   190      16    119738    119722   2.46112   3.44922  0.001826 0.0253907
   191      15    120788    120773   2.46973   4.10547  0.001904  0.025302
   192      16    121217    121201   2.46557   1.67188  0.002078 0.0253144
   193      16    121217    121201   2.45279         0         - 0.0253144
   194      16    121217    121201   2.44015         0         - 0.0253144
   195      16    122542    122526   2.45418   1.72526  0.003084 0.0254629
   196      16    123210    123194   2.45497   2.60938  0.009107 0.0254201
   197      16    123226    123210   2.44282    0.0625  0.033535 0.0254388
   198      16    123306    123290   2.43206    0.3125  0.876773 0.0255992
   199      16    124667    124651   2.44656   5.31641  0.002701   0.02554
2014-11-25 13:41:28.860038min lat: 0.001498 max lat: 65.5564 avg lat: 0.0253953
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16    126014    125998   2.46063   5.26172  0.012228 0.0253953
   201      16    127260    127244    2.4726   4.86719  0.001998 0.0252704
   202      15    127938    127923   2.47349   2.65234  0.002835 0.0252623
   203      16    129075    129059   2.48316    4.4375  0.002631 0.0251657
   204      16    129817    129801   2.48519   2.89844   0.00214 0.0251211
   205      16    129817    129801   2.47307         0         - 0.0251211
   206      16    129817    129801   2.46106         0         - 0.0251211
   207      16    129902    129886   2.45078  0.110677  0.033425 0.0254786
   208      16    129908    129892   2.43911 0.0234375  0.002092 0.0254789
   209      16    130471    130455   2.43796   2.19922  0.003104 0.0256324
   210      16    131690    131674   2.44902   4.76172  0.003383 0.0255106
   211      16    132862    132846   2.45911   4.57812  0.002267 0.0254092
   212      16    134232    134216   2.47275   5.35156  0.002145 0.0252712
   213      16    135445    135429   2.48339   4.73828  0.008544 0.0251595
   214      16    136274    136258   2.48691   3.23828  0.002223 0.0251253
   215      16    136929    136913   2.48724   2.55859  0.006614 0.0250982
   216      16    136929    136913   2.47573         0         - 0.0250982
   217      16    136929    136913   2.46432         0         - 0.0250982
   218      16    136929    136913   2.45302         0         - 0.0250982
   219      16    137678    137662   2.45517  0.731445  0.002301 0.0254475
2014-11-25 13:41:48.862271min lat: 0.001498 max lat: 65.5564 avg lat: 0.0254511
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16    137718    137702   2.44472   0.15625  0.002196 0.0254511
   221      16    138305    138289   2.44404   2.29297  0.002122 0.0255671
   222      16    139502    139486   2.45409   4.67578   0.00255 0.0254635
   223      16    140763    140747   2.46517   4.92578  0.012417 0.0253505
